strike-id,strike-lat,strike-lon,timestamp,centre-lat-1,centre-lon-1,radius-1,centre-lat-2,centre-lon-2,radius-2,centre-lat-3,centre-lon-3,radius-3
0,1687885889,5722585.330937,-19388.095255,51.517410,-0.174870,343.000392,51.490160,-0.200870,0.000000,51.488340,-0.148140,0.000000
0,1687885952,5722604.135118,-19387.446220,51.517410,-0.174870,0.000000,51.490160,-0.200870,0.000000,51.488340,-0.148140,0.000000
0,1687885965,5722604.135118,-19387.446220,51.517410,-0.174870,0.000000,51.490160,-0.200870,0.000000,51.488340,-0.148140,0.000000
0,1687886136,5722541.574572,-19138.662580,51.517410,-0.174870,1372.001570,51.490160,-0.200870,1715.001962,51.488340,-0.148140,0.000000
1,1687886145,5721294.550280,-17465.254448,51.517410,-0.174870,4459.005102,51.490160,-0.200870,4802.005494,51.488340,-0.148140,0.000000
2,1687886153,5718925.102132,-14656.174303,51.517410,-0.174870,7203.008241,51.490160,-0.200870,7546.008634,51.488340,-0.148140,0.000000
3,1687886172,5708541.164092,-2999.432446,51.517410,-0.174870,13720.015697,51.490160,-0.200870,14063.016090,51.488340,-0.148140,0.000000
4,1687886208,5660699.228277,27660.694938,51.517410,-0.174870,26068.029825,51.490160,-0.200870,24010.027470,51.488340,-0.148140,0.000000
0,1687886243,5722455.784282,-19231.963132,51.517410,-0.174870,1372.001570,51.490160,-0.200870,1372.001570,51.488340,-0.148140,0.000000
1,1687886245,5722270.345736,-19037.609272,51.517410,-0.174870,2058.002355,51.490160,-0.200870,2058.002355,51.488340,-0.148140,0.000000
2,1687886253,5720786.837373,-17482.778390,51.517410,-0.174870,4802.005494,51.490160,-0.200870,4802.005494,51.488340,-0.148140,0.000000
3,1687886256,5719924.548136,-16579.032941,51.517410,-0.174870,5831.006671,51.490160,-0.200870,5831.006671,51.488340,-0.148140,0.000000
4,1687886258,5719256.969373,-15879.359044,51.517410,-0.174870,6517.007456,51.490160,-0.200870,6517.007456,51.488340,-0.148140,0.000000
5,1687886262,5716860.447198,-15159.058675,51.517410,-0.174870,7889.009026,51.490160,-0.200870,7203.008241,51.488340,-0.148140,0.000000
6,1687886266,5715844.900136,-12303.248017,51.517410,-0.174870,9261.010596,51.490160,-0.200870,9261.010596,51.488340,-0.148140,0.000000
7,1687886290,5717310.838197,6537.957238,51.517410,-0.174870,13720.015697,51.490160,-0.200870,17493.020014,51.488340,-0.148140,0.000000
8,1687886292,5696559.291407,7909.553440,51.517410,-0.174870,18179.020799,51.490160,-0.200870,18179.020799,51.488340,-0.148140,0.000000
9,1687886294,5694556.555116,10008.575129,51.517410,-0.174870,18865.021584,51.490160,-0.200870,18865.021584,51.488340,-0.148140,0.000000
10,1687886298,5690328.556279,14439.843141,51.517410,-0.174870,20237.023154,51.490160,-0.200870,20237.023154,51.488340,-0.148140,0.000000
11,1687886310,5675864.349732,29599.444233,51.517410,-0.174870,24353.027863,51.490160,-0.200870,24353.027863,51.488340,-0.148140,0.000000
